Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WorkOrdersAOP,Chrome 125.0.0.0,,,03-06-2024 14:06:25,03-06-2024 14:06:52,"27,097s",ERROR
,,,,,,,
Test Cases/Login Work Orders,Chrome 125.0.0.0,,,03-06-2024 14:06:25,03-06-2024 14:06:52,"26,805s",ERROR
"openBrowser("""")",Chrome 125.0.0.0,,,03-06-2024 14:06:26,03-06-2024 14:06:29,"3,717s",PASSED
navigateToUrl(PreprodENV),Chrome 125.0.0.0,,,03-06-2024 14:06:29,03-06-2024 14:06:34,"4,905s",PASSED
maximizeWindow(),Chrome 125.0.0.0,,,03-06-2024 14:06:34,03-06-2024 14:06:34,"0,130s",PASSED
"for ([i = 0, i < 1, (i++)])",Chrome 125.0.0.0,,,03-06-2024 14:06:34,03-06-2024 14:06:52,"17,450s",ERROR
